Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
objectstorage.us-phoenix-1.oraclecloud.com,0,0,1,6,0,0,0,1,0,1,1,1,1,1,0,1
noteworthyfocusedfact--josebenediccto.repl.co,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
uniswap.token.im,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
icemat.com.br,0,1,1,3,0,0,1,0,0,1,1,1,1,1,1,1
bakery-jasmy.org,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
gerenciadordacaixa.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
relationclientdigitalisation.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
metafb-slwx5f9.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
stearncomunitt.ru,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
xbeualskdgjf.godaddysites.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
legro-schmelz.de,0,0,1,5,0,0,0,1,0,1,1,1,1,1,1,1
courthousewestfield.com,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
trustcontracts.net,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
tar-nama.com,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
oreillymx.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
adk100.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
tbwcshop.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
souaxwaoh.myfreesites.net,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
standerapponline.000webhostapp.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
conferindo-meusaldonline-2023.com,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
actanacimiento.com.mx,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1
synposesprotocol.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
pnordpackage.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
digitalluizaonline.blogspot.com,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1
brooksshopping.ru,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
btbusiness-9f0a13.webflow.io,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
moxiecoach.net,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1
bafybeid7rn7fthgr7yueco6zzvhmngwy3gpit2n6zfdblg6zb6kyce4nqa.ipfs.dweb.link,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
ww.zona-segura.beta.vpphoangha.vn,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
prodotti-clienticarte.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
dev-24horasenlinea-seguridad-bisa.pantheonsite.io,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
xncbvbj.weebly.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
rcube111112.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
holders.sellpass.io,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1
etc-hnbvnyh.wikaba.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
gmail.alias-mine.workers.dev,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
m5322sb4adsa.movea-med.de,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
hotvintesd.snichaleapo.cf,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
domappcheckomeg16.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
bowedknownwebsites.volarmix3.repl.co,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1
caseid1008956783495835.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
azzlawfirm.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
virginpaperagency.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1
droidfactorycustoms.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
johnlaw.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1
8tyi.kmugjxbaa5245.workers.dev,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
de782005.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
etc-pplkh.misecure.com,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
mail2.googlle.workers.dev,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
bridge-axelarnetwork.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
clickmetertracking.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1
ashamedremarkablemodel.usrer123.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
att-102521-106544.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
project1b-fc492.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
verify-center1.strangled.net,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
91a4f1e3eb.nxcli.io,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1
ipfs.io,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1
s3.amazonaws.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,0,1
help-center294.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
muenchnernotizen.info,0,1,1,9,0,0,0,0,0,1,1,1,1,1,1,1
nodetranscendence.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
witrzcxnzl.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
www-cred-foz-ilha.blogspot.com,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
nitro.neeve.co,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
wallieget.com,0,0,1,3,0,0,1,0,1,1,1,1,1,1,1,1
kristosh.eu,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1
fevrier-897c1.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
gtly.to,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1
irhose.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
officesharepoints.myportfolio.com,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
delevery012.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
my.softbank.info.qivw.top,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
domappcheckomeg19.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
connection-orangebank-certicode.derlma.com,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
dasfinhas.com,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
suite-trezo.io,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
sqctj.costspast.top,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
dapp-comdex-ecosystem.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
plovintesd.blacenarycra.cf,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
admiring-fermat.149-28-163-177.plesk.page,0,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1
mndnrd.top,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
7b631qxp.r.us-west-2.awstrack.me,0,0,1,5,0,0,1,1,0,0,1,1,1,1,0,1
aide-laposte-fr.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
solcitapiurapromos.xyz,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
apple-auth-cn.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
pancakeswapfinanece.godaddysites.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
is.gd,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1
business1289768912.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
generousmonthlycoinsss--yverde.repl.co,0,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1
2ik1rstrct678pgbsnssrcvry1695634.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
vinted-pl-gj32d.lanru.top,0,0,0,2,0,0,1,1,0,1,1,1,1,1,1,1
cnscsjbcjsbc.xcsfdhgfgd.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
lifedesignbolivia.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1
storageapi.fleek.one,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1
produkte-dkb.konto-24.info,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
